18173,39.999854,116.327144,1238715935000
18233,39.989266,116.326655,1238716235000
18286,39.984373,116.323117,1238716480000
18287,39.984356,116.323457,1238716800000
18350,39.9846,116.326466,1238717100000
18412,39.985434,116.347351,1238717400000
18472,39.986565,116.387738,1238717700000
18533,39.982257,116.411251,1238718000000
18601,39.984218,116.417706,1238718300000
18661,39.977613,116.451382,1238718600000
18721,39.975647,116.469753,1238718900000
18781,40.016449,116.517132,1238719200000
18841,40.034641,116.585908,1238719500000
18901,40.052518,116.613648,1238719800000
18961,40.045578,116.599043,1238720100000
19021,40.077974,116.587331,1238720400000
19048,40.079506,116.587179,1238720800000
19054,40.080076,116.586281,1238721100000
19098,40.054606,116.583925,1238721400000
19158,40.028446,116.551133,1238721700000
19218,39.99511,116.490957,1238722000000
19278,39.976749,116.45302,1238722300000
19339,39.987495,116.41154,1238722600000
19401,39.986913,116.391285,1238722900000
19461,39.98564,116.346412,1238723200000
19525,39.985357,116.326625,1238723500000
19549,39.985634,116.321053,1238723800000
19609,39.991073,116.319041,1238724100000
19671,39.993059,116.320477,1238724400000
19733,39.997427,116.318977,1238724700000
19797,39.997568,116.317994,1238725000000
19858,40.004261,116.316829,1238725300000
19919,40.009076,116.317077,1238725600000
19980,40.010067,116.314978,1238725900000
20023,40.009724,116.315361,1238726090000
20024,40.009703,116.315066,1238726505000
20086,40.009598,116.31532,1238726805000
